, N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Lugar,Area Total,Area Privativa,Area do Terreno,Quartos,Garagem,Sala,Descrição Extra
0,10177903.0,SP ,ADAMANTINA ,ADAMANTINA ,"RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ","540.000,00","540.000,00",0.0,"Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903,Imóvel rural,0.00,0.00,800.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Existe área não averbada."
2,8787701975796.0,SP ,AGUDOS ,VALE DOS PINHEIROS ,"RUA AIDE DO CARMO PRADO, N. 25, LT 28 QD C ","124.200,00","207.000,00",40.0,"Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701975796,Casa,0.00,50.00,200.00,2,2,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
3,8787708866704.0,SP ,ALTINOPOLIS ,FIGUEIREDO FELIPPE ,"RUA SEIS, N. 330, LT 31 QD 14 ","116.000,00","116.000,00",0.0,"Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708866704,Casa,0.00,46.10,140.00,2,2,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
4,1444415727831.0,SP ,ALUMINIO ,BREJO ,"RUA ANGELINO SOARES DA CRUZ, N. 255, Apto 32, BLOCO 1, ED JOAO TISEO ","190.293,77","181.000,00",0.0,"Apartamento, 0.00 de área total, 46.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415727831,Apartamento,0.00,46.27,0.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
7,8444429464933.0,SP ,ALVARES MACHADO ,JARDIM PANORAMA ,"RUA COELHO NETO, N. 114, LOTE 35B QUADRA 1 ","163.000,00","163.000,00",0.0,"Casa, 0.00 de área total, 53.23 de área privativa, 148.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429464933,Casa,0.00,53.23,148.28,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
8,8444413030866.0,SP ,ALVARES MACHADO ,PARQUE DOS PINHEIROS ,"RUA JOAQUIM SERRA, N. 220, LT 32 QD 9 ","125.000,00","125.000,00",0.0,"Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413030866,Casa,0.00,55.45,126.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
9,8444425430511.0,SP ,ALVARES MACHADO ,CENTRO ,"RUA  ALCIDES MORANI, N. SN, LT 7B QD N ","135.806,91","58.000,00",0.0,"Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425430511,Terreno,0.00,0.00,125.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
12,8444420555413.0,SP ,AMERICANA ,PARQUE LIBERDADE ,"RUA SERRA DO PARANAPIACABA, N. 235, 0 ","172.800,00","288.000,00",40.0,"Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413,Casa,0.00,103.39,174.62,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
17,8555538136831.0,SP ,AMERICANA ,JARDIM BERTONI ,"RUA VALENCIA, N. 155, Apto 306, BLOCO 07 ","125.584,68","177.000,00",29.05,"Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538136831,Apartamento,0.00,42.51,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
19,8444410990281.0,SP ,AMERICANA ,SAO VITO ,"RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ","172.556,04","200.000,00",13.73,"Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281,Apartamento,0.00,50.20,0.00,0,1,0," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 50012029020244036134."
20,8555503799400.0,SP ,AMERICANA ,PARQUE UNIVERSITARIO ,"RUA SUMARE, N. 155, Apto 102, BL A ","235.000,00","235.000,00",0.0,"Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503799400,Apartamento,0.00,59.99,0.00,3,0,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10110269120188260019."
21,8555535716039.0,SP ,AMERICANA ,CARIOBA ,"RUA SAO SEBASTIAO, N. 845, Apto 144A, 14 ANDAR BL A ","227.000,00","227.000,00",0.0,"Apartamento, 64.74 de área total, 0.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535716039,Apartamento,64.74,0.00,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
22,8787705580214.0,SP ,AMERICANA ,MORADA DO SOL ,"AVENIDA SAO JERONIMO, N. 2750, Apto 204, BL 25 ","180.151,39","180.151,39",0.0,"Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705580214,Apartamento,0.00,38.92,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
23,8555538363269.0,SP ,AMERICANA ,VILA AMORIM ,"AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 402, BL 34 GARAGEM 898 ","200.000,00","200.000,00",0.0,"Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538363269,Apartamento,0.00,42.51,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10070180320208260019 ."
24,8555527515763.0,SP ,AMERICANA ,PARQUE RESIDENCIAL JAGUARI ,"RUA DALVA DE OLIVEIRA, N. 188, Apto R9, 0 ","165.500,00","165.500,00",0.0,"Apartamento, 0.00 de área total, 56.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527515763,Apartamento,0.00,56.33,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
25,8444412752248.0,SP ,AMERICANA ,PARQUE SAO JERONIMO ,"RUA JULIO JUSTI, N. 766, Apto 23, . ","232.034,42","232.034,42",0.0,"Apartamento, 0.00 de área total, 64.69 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412752248,Apartamento,0.00,64.69,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
26,8787704204766.0,SP ,AMERICANA ,PARQUE SAO JERONIMO ,"RUA RIO CANINDE, N. 55, Apto 11, PV 01   BL I ","160.000,00","160.000,00",0.0,"Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704204766,Apartamento,0.00,49.03,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
27,1555512412892.0,SP ,AMERICANA ,CIDADE JARDIM II ,"RUA DAS VIOLETAS, N. 520, Apto 11, . ","339.389,00","339.389,00",0.0,"Apartamento, 0.00 de área total, 97.99 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512412892,Apartamento,0.00,97.99,0.00,3,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
28,8444419294032.0,SP ,AMERICANA ,JARDIM BERTONI ,"RUA VALENCIA, N. 155, Apto 201, BL 28 ","179.388,00","179.388,00",0.0,"Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419294032,Apartamento,0.00,42.51,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
29,8555537739885.0,SP ,AMERICANA ,JARDIM BERTONI ,"RUA VALENCIA, N. 155, Apto 206, BL 17 ","189.000,00","189.000,00",0.0,"Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537739885,Apartamento,0.00,42.51,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
30,8555538092524.0,SP ,AMERICANA ,JARDIM BERTONI ,"RUA VALENCIA, N. 155, Apto 205, BL 17 ","168.011,51","165.000,00",0.0,"Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538092524,Apartamento,0.00,42.51,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
31,8555536414630.0,SP ,AMERICANA ,RESIDENCIAL PRAIA DOS NAMORADOS ,"AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 183, BL 02 ","200.885,07","196.000,00",0.0,"Apartamento, 0.00 de área total, 51.75 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536414630,Apartamento,0.00,51.75,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
32,8787706800382.0,SP ,AMERICANA ,FAZENDA SAO DOMINGOS ,"AVENIDA SAO JERONIMO, N. 2750, Apto 202, BL 15 GB A3B BOX 784 ","175.955,70","169.000,00",0.0,"Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706800382,Apartamento,0.00,38.92,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
33,8787703947366.0,SP ,AMERICANA ,MORADA DO SOL ,"AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 23 GL A3B ","175.934,69","167.800,00",0.0,"Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703947366,Apartamento,0.00,38.92,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
34,1444405293332.0,SP ,AMERICANA ,VILA GALO ,"AVENIDA MARGINAL, N. 1221, Apto 11, . ","228.655,46","218.000,00",0.0,"Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405293332,Apartamento,0.00,52.85,0.00,3,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
35,8555526353182.0,SP ,AMERICANA ,VILA DAINESE ,"RUA JOSE ZANETTI, N. 97, Apto 1202, BL 01 ","207.620,54","188.000,00",0.0,"Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526353182,Apartamento,0.00,53.45,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
36,8787705862821.0,SP ,AMERICANA ,FAZENDA SAO DOMINGOS ,"AVENIDA SAO JERONIMO, N. 2750, Apto 104, BL 27 ","175.990,64","142.000,00",0.0,"Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705862821,Apartamento,0.00,38.92,0.00,0,0,0," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
37,10167291.0,SP ,AMERICO BRASILIENSE ,JARDIM SAO JOSE ,"AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ","593.474,21","572.188,06",0.0,"Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291,Comercial,0.00,252.34,312.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 50011498820234036120."
38,10006530.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 433, CENTRO - NO LOCAL 435 ","380.000,00","255.000,00",0.0,"Casa, 0.00 de área total, 88.20 de área privativa, 528.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006530,Casa,0.00,88.20,528.00,2,0,1," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
39,10006529.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 443 ","336.000,00","212.000,00",0.0,"Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006529,Terreno,0.00,0.00,480.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
40,10006531.0,SP ,AMERICO BRASILIENSE ,CENTRO ,"RUA EMILIA GALLI, N. 423 ","366.000,00","185.000,00",0.0,"Casa, 0.00 de área total, 100.00 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006531,Casa,0.00,100.00,480.00,2,0,1," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Existe área não averbada."
42,8555539666761.0,SP ,ANDRADINA ,LOTEAMENTO RESIDENCIAL ALTO DOS IPES ,"RUA DR CELSO CHARURI, N. 351, CS 080 QD E ","131.224,96","130.000,00",0.0,"Casa, 0.00 de área total, 55.05 de área privativa, 140.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539666761,Casa,0.00,55.05,140.00,3,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
45,8555512209912.0,SP ,ARACATUBA ,AEROPORTO ,"VIA AGNALDO FERNANDES, N. SN, CS 406 ","88.320,00","147.200,00",40.0,"Casa, 0.00 de área total, 52.47 de área privativa, 80.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512209912,Casa,0.00,52.47,80.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
46,8412200006544.0,SP ,ARACATUBA ,CENTRO ,"RUA MANOEL JOAQUIM DE SOUZA, N. 236, L 14 QD 07 ","49.800,00","83.000,00",40.0,"Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8412200006544,Casa,0.00,40.28,170.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
