, N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Lugar,Area Total,Area Privativa,Area do Terreno,Quartos,Garagem,Sala,Descrição Extra
105,8787708374593.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 31, BL C TORRE 2 ","112.587,29","155.000,00",27.37,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708374593,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
106,8787708900562.0,SP ,ARARAQUARA ,JARDIM QUITANDINHA II ,"AVENIDA MARGINAL DO CORREGO DOS MARTINS, N. 445, Apto 404, BL 18 ","113.410,67","150.000,00",24.4,"Apartamento, 0.00 de área total, 43.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708900562,Apartamento,0.00,43.20,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
107,8787706222648.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL JARDIM IPANEMA ,"AVENIDA SEBASTIAO GERALDO CARDOZO TIAO, N. 200, LT 494, QD 15, ANTIGA AVENIDA 03 ","113.481,35","150.000,00",24.35,"Casa, 0.00 de área total, 43.33 de área privativa, 200.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706222648,Casa,0.00,43.33,200.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
108,8787708565160.0,SP ,ARARAQUARA ,JD AMERICA ,"AVENIDA  MASSAIUQUI SANO, N. 90, Apto 303, BL 1 ","106.047,34","137.000,00",22.6,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708565160,Apartamento,0.00,39.30,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
109,8787704270998.0,SP ,ARARAQUARA ,VILA MELHADO ,"AVENIDA NOSSA SENHORA DAS GRACAS, N. 563, Apto 612, 0 ","172.542,34","220.000,00",21.58,"Apartamento, 0.00 de área total, 51.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704270998,Apartamento,0.00,51.72,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
110,8787709214930.0,SP ,ARARAQUARA ,JARDIM QUITANDINHA II ,"AVENIDA D, N. 173, Apto 102, BL 03 ","128.172,98","140.000,00",8.45,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709214930,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10005275220228260037."
111,8787708031602.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 3, BL B TR 01 ","155.000,00","155.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708031602,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
112,8787711926186.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 23, BL B TORRE 3 ","165.000,00","165.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711926186,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
113,8787703835339.0,SP ,ARARAQUARA ,VILA MELHADO ,"AVENIDA NOSSA SENHORA DAS GRACAS, N. 563, Apto 1410, . ","240.000,00","240.000,00",0.0,"Apartamento, 0.00 de área total, 48.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703835339,Apartamento,0.00,48.50,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
114,8555525385137.0,SP ,ARARAQUARA ,PARQUE LARANJEIRAS ,"RUA PAULINO RODELLA, N. 1234, Apto 401, BL 16 ","125.000,00","125.000,00",0.0,"Apartamento, 0.00 de área total, 45.25 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525385137,Apartamento,0.00,45.25,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
115,8555537835353.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL IGUATEMI ,"AVENIDA MIGUEL BUCALEM, N. 468, Apto 103, BL 15 ","155.000,00","155.000,00",0.0,"Apartamento, 0.00 de área total, 49.57 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537835353,Apartamento,0.00,49.57,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10088228320198260037."
116,10177950.0,SP ,ARARAQUARA ,JARDIM SANTA CLARA (VILA XAVIER) ,"AVENIDA NELSON MARIOTTINI (ANTIGA AVENIDA I), N. 00, QD 06, LT 14 ","317.000,00","317.000,00",0.0,"Casa, 0.00 de área total, 140.00 de área privativa, 264.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177950,Casa,0.00,140.00,264.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Existe área não averbada."
117,1444411368217.0,SP ,ARARAQUARA ,JARDIM MORUMBI ,"RUA CASTRO ALVES, N. 2043, Apto 63, TORRE 1 ED BEIJA FLOR ANDAR 6 ","745.000,00","745.000,00",0.0,"Apartamento, 0.00 de área total, 140.29 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411368217,Apartamento,0.00,140.29,0.00,0,2,0," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
118,1555513827794.0,SP ,ARARAQUARA ,JARDIM SERRA AZUL ,"AVENIDA TENENTE PM CIRO MONTEIRO DA SILVA, N. 724, LT226 QDL ","142.500,00","142.500,00",0.0,"Casa, 0.00 de área total, 69.99 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555513827794,Casa,0.00,69.99,250.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 5005912-11.2023.4.03.6322, 50059121120234036322, 15141056420188260037, 00019457720158260040, 50059433120184036120."
119,8787704412725.0,SP ,ARARAQUARA ,JARDIM QUITANDINHA II ,"AVENIDA D, N. 173, Apto 103, 1PAV BL10 ","135.000,00","135.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704412725,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 5001589-26.2024.4.03.6322."
120,1555511534897.0,SP ,ARARAQUARA ,RESIDENCIAL VILLAGE DAMHA II ,"RUA GISLAINE LILIAN MARTINS PIERRI, N. 301, LT 01 QD B ","871.000,00","871.000,00",0.0,"Casa, 0.00 de área total, 181.86 de área privativa, 366.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555511534897,Casa,0.00,181.86,366.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 Imóvel NÃO aceita financiamento habitacional.
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 00052963320168260037."
121,8555538831521.0,SP ,ARARAQUARA ,JARDIM SAO BENTO ,"RUA ROQUE DO CARMO MARANI, N. 21, LT 23 QD I ","150.000,00","150.000,00",0.0,"Casa, 0.00 de área total, 43.92 de área privativa, 212.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538831521,Casa,0.00,43.92,212.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
122,8787704567478.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 459, Apto 4, BLC TORRE 6 ","147.027,34","147.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704567478,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
123,8787710373957.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA  ARISTIDES FERNANDES, N. 485, Apto 3, BL D TORRE 1 ","154.195,44","154.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710373957,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
124,8555539956417.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL IGUATEMI ,"AVENIDA MIGUEL BUCALEM, N. 468, Apto 103, BL 05 ","139.779,52","139.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539956417,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10060675220208260037."
125,1787700360943.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL JARDIM IPANEMA ,"AVENIDA 02  ANTIGA CRISTIANE ANDREZA ASTORINO DEST, N. 501, LT 963 QD 30 ","126.285,33","125.000,00",0.0,"Casa, 0.00 de área total, 43.33 de área privativa, 339.88 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700360943,Casa,0.00,43.33,339.88,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
126,8555539008500.0,SP ,ARARAQUARA ,JARDIM RESIDENCIAL PARAISO ,"RUA BENTO RAMALHO MACHADO, N. 622, Apto 4, TORRE 01 ","143.397,00","140.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539008500,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
127,8787709681821.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 11, BL D TORRE 12 ","154.170,95","150.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709681821,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
128,8787708833008.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 2, BL C TORRE 2 ","154.308,90","149.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708833008,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
129,8555537756623.0,SP ,ARARAQUARA ,JARDIM DAS FLORES ,"RUA MAHIBA BARCHA, N. 90, Apto 403, BL 08 ","143.396,53","135.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537756623,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 5001469-80.2024.4.03.6322."
130,8787708339844.0,SP ,ARARAQUARA ,JARDIM QUITANDINHA II ,"AVENIDA MARGINAL DO CORREGO DOS MARTINS, N. 445, Apto 101, 1 PAV BL 35 ","156.000,00","145.000,00",0.0,"Apartamento, 0.00 de área total, 43.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708339844,Apartamento,0.00,43.20,0.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
131,8555539238360.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL IGUATEMI ,"AVENIDA MIGUEL BUCALEM, N. 468, Apto 202, BL 16 ","134.581,08","125.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539238360,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 10006753420208260037."
132,8787708105096.0,SP ,ARARAQUARA ,CAMPOS VILLE ,"RUA ARISTIDES FERNANDES, N. 485, Apto 2, BL B TORRE 2 ","154.310,73","142.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708105096,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
133,8444427644390.0,SP ,ARARAQUARA ,JARDIM AMERICA (VILA ,"AVENIDA, N. 900, Apto 22, BL 17 ","161.935,03","149.000,00",0.0,"Apartamento, 0.00 de área total, 49.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427644390,Apartamento,0.00,49.29,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
134,8787705675533.0,SP ,ARARAQUARA ,SOLIDARIEDADE ,"AVENIDA MARGINAL DO CORREGO DOS MARTINS, N. 445, Apto 401, BL 30 ","141.000,00","127.500,00",0.0,"Apartamento, 0.00 de área total, 43.20 de área privativa, 0.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705675533,Apartamento,0.00,43.20,0.00,0,0,0," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 50049992920234036322."
135,8787708888619.0,SP ,ARARAQUARA ,JARDIM AMERICA VILA ,"RUA PRESIDENTE JOAO BELCHIOR MARQUES GOULART, N. 873, Apto 204, BL 2 ","175.833,04","158.000,00",0.0,"Apartamento, 0.00 de área total, 54.09 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708888619,Apartamento,0.00,54.09,0.00,2,0,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
136,8555539235965.0,SP ,ARARAQUARA ,PARQUE RESIDENCIAL IGUATEMI ,"AVENIDA MIGUEL BUCALEM, N. 468, Apto 202, BL 10 ","134.428,09","115.000,00",0.0,"Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539235965,Apartamento,0.00,39.30,0.00,2,1,1," Imóvel NÃO aceita utilização de FGTS.
 FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio.
 Imóvel com ação judicial: 50005058720244036322, 10115084820198260037, 5000505-87.2024.4.03.6322."
137,8555538358214.0,SP ,ARARAQUARA ,JARDIM RESIDENCIAL PARAISO ,"AVENIDA  PROFESSOR GUSTAVO FLEURY CHARMILLOT, N. 372, Apto 11, BL B TORRE 3 ","154.630,44","132.000,00",0.0,"Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538358214,Apartamento,0.00,43.06,0.00,2,1,1," FINANCIAMENTO (consulte condições).
Imóvel NÃO aceita parcelamento.
Imóvel NÃO aceita consórcio."
